YEAR,QUARTER,RCONSUM1,RCONSUM2,RCONSUM3,RCONSUM4,RCONSUM5,RCONSUM6,RCONSUMA,RCONSUMB
1981,3,955,963,971,977.5,986,996,962.5,993
1981,4,965,964,968,973.5,983,993.5,961,978
1982,1,958,963,968,978,987,995,974,1007
1982,2,966.5,967,975,985.5,992,999,974,1003
1982,3,956,962,972,976,983,992,960,988
1982,4,958,964.5,972,979.5,987,997.5,957,983
1983,1,968,974,981,990,998,1008,985,1019
1983,2,972,981,992,1001,1010,1020,986.5,1023.5
1983,3,1010,1022,1031,1041.5,1052,1060,1013,1056
1983,4,1019,1031,1041,1049,1059,1068,1012,1054
1984,1,1032,1043.5,1053,1062,1070,1078.5,1057,1090
1984,2,1047,1058,1066,1074,1082.5,1091,1061,1094
1984,3,1062,1074,1085,1093,1102,1109.5,1066,1106
1984,4,1065,1076,1086,1095,1102,1111,1062,1098.5
1985,1,1076,1089,1100,1110,1119,1126.5,1063,1104
1985,2,1088.5,1098,1106.5,1115,1123,1130,1102,1133
1985,3,1103,1109.5,1115,1121,1129,1137,1104.5,1134
1985,4,1115,1115.5,1122,1128,1136.5,1143,1106,1133
1986,1,2329,2352,2367,2381,2394,2408.5,2313,2374
1986,2,2355,2376,2392.5,2405.5,2422,2441,2384,2450.5
1986,3,2407,2426,2440,2455,2472.5,2494,2412,2481
1986,4,2450,2446,2457,2471,2487,2502,2419,2483.5
1987,1,2445,2450.5,2465.5,2481,2497,2515,2471,2535
1987,2,2443,2460,2476,2490,2507,2521,2468,2528.5
1987,3,2489,2514,2526,2542,2558,2571,2501,2565
1987,4,2517,2515,2525.5,2536,2548,2560.5,2499,2542.5
1988,1,2497,2515,2521,2537,2547,2550,2526,2567.5
1988,2,2531,2544.5,2556.5,2567,2581.5,2593,2548,2600
1988,3,2574,2591,2603,2616,2628,2641,2582.5,2633.5
1988,4,2601,2616,2631,2646,2661,2673,2589,2652
1989,1,2622,2638.5,2653,2662.5,2674,2685,2656,2698.5
1989,2,2635,2652,2663,2675,2685,2698,2655,2704.5
1989,3,2648,2663,2674.15,2682.25,2700.3,2709.8,2655.1,2710
1989,4,2691,2690,2707,2719,2733,2748,2669.5,2728.5
1990,1,2689,2706,2719.5,2734,2749.5,2765.5,2669,2726.5
