CONSUMER_SPENDING,TBL1,TBL2,TBL3,TBL4,TBL5,TBL6,TBL7,BOND1,BOND2,BOND3,BOND4,BOND5,BOND6,BOND7,DEBT1,DEBT2,DEBT3,DEBT4,DEBT5,DEBT6,DEBT7,DLSP1,DLSP2,DLSP3,DLSP4,DLSP5,DLSP6,DLSP7
1.9,7.27,7.32,7.01,6.19,6.1,5.56,5.2,7.37,7.3,6.86,6.35,6.18,5.77,5.46,0.89469373,0.88909917,0.889712058,0.881694571,0.889447928,0.884180383,0.885842887,-0.068894457,0.008980421,-0.083421518,0.007275629,-0.042025323,0.053256183,0.011933102
3.6,6.67,7.27,7.32,7.01,6.19,6.1,5.56,7.71,7.37,7.3,6.86,6.35,6.18,5.77,0.889323441,0.89469373,0.88909917,0.889712058,0.881694571,0.889447928,0.884180383,-0.13500889,-0.068894457,0.008980421,-0.083421518,0.007275629,-0.042025323,0.053256183
-1.1,6.36,6.67,7.27,7.32,7.01,6.19,6.1,7.46,7.71,7.37,7.3,6.86,6.35,6.18,0.897296457,0.889323441,0.89469373,0.88909917,0.889712058,0.881694571,0.889447928,0.055127098,-0.13500889,-0.068894457,0.008980421,-0.083421518,0.007275629,-0.042025323
7.9,5.4,6.36,6.67,7.27,7.32,7.01,6.19,6.85,7.46,7.71,7.37,7.3,6.86,6.35,0.902577149,0.897296457,0.889323441,0.89469373,0.88909917,0.889712058,0.881694571,0.073996649,0.055127098,-0.13500889,-0.068894457,0.008980421,-0.083421518,0.007275629
3.7,3.91,5.4,6.36,6.67,7.27,7.32,7.01,6.02,6.85,7.46,7.71,7.37,7.3,6.86,0.908938156,0.902577149,0.897296457,0.889323441,0.89469373,0.88909917,0.889712058,0.109335835,0.073996649,0.055127098,-0.13500889,-0.068894457,0.008980421,-0.083421518
3.2,4.18,3.91,5.4,6.36,6.67,7.27,7.32,6.25,6.02,6.85,7.46,7.71,7.37,7.3,0.90515171,0.908938156,0.902577149,0.897296457,0.889323441,0.89469373,0.88909917,0.031385918,0.109335835,0.073996649,0.055127098,-0.13500889,-0.068894457,0.008980421
6.8,5.03,4.18,3.91,5.4,6.36,6.67,7.27,6.48,6.25,6.02,6.85,7.46,7.71,7.37,0.913356241,0.90515171,0.908938156,0.902577149,0.897296457,0.889323441,0.89469373,-0.031351775,0.031385918,0.109335835,0.073996649,0.055127098,-0.13500889,-0.068894457
5.4,4.25,5.03,4.18,3.91,5.4,6.36,6.67,5.89,6.48,6.25,6.02,6.85,7.46,7.71,0.917238142,0.913356241,0.90515171,0.908938156,0.902577149,0.897296457,0.889323441,-0.009052629,-0.031351775,0.031385918,0.109335835,0.073996649,0.055127098,-0.13500889
7.9,3.45,4.25,5.03,4.18,3.91,5.4,6.36,6.03,5.89,6.48,6.25,6.02,6.85,7.46,0.919555388,0.917238142,0.913356241,0.90515171,0.908938156,0.902577149,0.897296457,0.090189707,-0.009052629,-0.031351775,0.031385918,0.109335835,0.073996649,0.055127098
6.3,3.77,3.45,4.25,5.03,4.18,3.91,5.4,6.14,6.03,5.89,6.48,6.25,6.02,6.85,0.919910678,0.919555388,0.917238142,0.913356241,0.90515171,0.908938156,0.902577149,0.020653322,0.090189707,-0.009052629,-0.031351775,0.031385918,0.109335835,0.073996649
9.7,4.22,3.77,3.45,4.25,5.03,4.18,3.91,6.29,6.14,6.03,5.89,6.48,6.25,6.02,0.930196962,0.919910678,0.919555388,0.917238142,0.913356241,0.90515171,0.908938156,0.01435659,0.020653322,0.090189707,-0.009052629,-0.031351775,0.031385918,0.109335835
7.5,4.86,4.22,3.77,3.45,4.25,5.03,4.18,6.37,6.29,6.14,6.03,5.89,6.48,6.25,0.933548386,0.930196962,0.919910678,0.919555388,0.917238142,0.913356241,0.90515171,0.051156534,0.01435659,0.020653322,0.090189707,-0.009052629,-0.031351775,0.031385918
-0.2,5.69,4.86,4.22,3.77,3.45,4.25,5.03,6.6,6.37,6.29,6.14,6.03,5.89,6.48,0.93938727,0.933548386,0.930196962,0.919910678,0.919555388,0.917238142,0.913356241,-0.020627128,0.051156534,0.01435659,0.020653322,0.090189707,-0.009052629,-0.031351775
1.4,6.6,5.69,4.86,4.22,3.77,3.45,4.25,6.81,6.6,6.37,6.29,6.14,6.03,5.89,0.940705001,0.93938727,0.933548386,0.930196962,0.919910678,0.919555388,0.917238142,-0.07036666,-0.020627128,0.051156534,0.01435659,0.020653322,0.090189707,-0.009052629
-1.2,8.34,6.6,5.69,4.86,4.22,3.77,3.45,7.21,6.81,6.6,6.37,6.29,6.14,6.03,0.949619885,0.940705001,0.93938727,0.933548386,0.930196962,0.919910678,0.919555388,0.01481788,-0.07036666,-0.020627128,0.051156534,0.01435659,0.020653322,0.090189707
-3.4,7.5,8.34,6.6,5.69,4.86,4.22,3.77,6.75,7.21,6.81,6.6,6.37,6.29,6.14,0.954889534,0.949619885,0.940705001,0.93938727,0.933548386,0.930196962,0.919910678,-0.061364995,0.01481788,-0.07036666,-0.020627128,0.051156534,0.01435659,0.020653322
1.4,7.62,7.5,8.34,6.6,5.69,4.86,4.22,7.05,6.75,7.21,6.81,6.6,6.37,6.29,0.954760249,0.954889534,0.949619885,0.940705001,0.93938727,0.933548386,0.930196962,-0.051084042,-0.061364995,0.01481788,-0.07036666,-0.020627128,0.051156534,0.01435659
1.7,8.16,7.62,7.5,8.34,6.6,5.69,4.86,7.54,7.05,6.75,7.21,6.81,6.6,6.37,0.95500774,0.954760249,0.954889534,0.949619885,0.940705001,0.93938727,0.933548386,-0.08428566,-0.051084042,-0.061364995,0.01481788,-0.07036666,-0.020627128,0.051156534
-5.7,8.23,8.16,7.62,7.5,8.34,6.6,5.69,7.96,7.54,7.05,6.75,7.21,6.81,6.6,0.968233481,0.95500774,0.954760249,0.954889534,0.949619885,0.940705001,0.93938727,-0.203756821,-0.08428566,-0.051084042,-0.061364995,0.01481788,-0.07036666,-0.020627128
3.4,7.35,8.23,8.16,7.62,7.5,8.34,6.6,7.67,7.96,7.54,7.05,6.75,7.21,6.81,0.97424352,0.968233481,0.95500774,0.954760249,0.954889534,0.949619885,0.940705001,-0.012025506,-0.203756821,-0.08428566,-0.051084042,-0.061364995,0.01481788,-0.07036666
6.9,5.82,7.35,8.23,8.16,7.62,7.5,8.34,7.54,7.67,7.96,7.54,7.05,6.75,7.21,0.974866514,0.97424352,0.968233481,0.95500774,0.954760249,0.954889534,0.949619885,0.130035901,-0.012025506,-0.203756821,-0.08428566,-0.051084042,-0.061364995,0.01481788
5.8,5.39,5.82,7.35,8.23,8.16,7.62,7.5,8.05,7.54,7.67,7.96,7.54,7.05,6.75,0.9620682,0.974866514,0.97424352,0.968233481,0.95500774,0.954760249,0.954889534,0.123164971,0.130035901,-0.012025506,-0.203756821,-0.08428566,-0.051084042,-0.061364995
