DATE,DPCERL1Q225SBEA,DPCERL1Q225SBEA_delta,CP,CP_delta,W875RX1,W875RX1_delta,PSAVERT,PSAVERT_delta,PAYEMS,PAYEMS_delta,UNRATE,UNRATE_delta,POP,POP_delta,CIVPART,CIVPART_delta,INDPRO,INDPRO_delta,USTRADE,USTRADE_delta,TOTALSA,TOTALSA_delta,TOTALSL,TOTALSL_delta,HOUST,HOUST_delta,CPIAUCSL,CPIAUCSL_delta,CSUSHPISA,CSUSHPISA_delta,WTISPLC,WTISPLC_delta,BASE,BASE_delta,BAA10YM,BAA10YM_delta,FF,FF_delta,DGS10,DGS10_delta,TWEXM,TWEXM_delta,UMCSENT,UMCSENT_delta,SANDP,SANDP_delta,Household Debt,Household Debt_delta
1950_2,6.8,6.8,19.19192,2.59067,0.746123405,0.746123405,8.329613734,8.329613734,2.59904,0.82337,5.6,6.4,0.279866312,0.279866312,59.2,58.9,8.39609,5.24935,0.02446,-0.27053,0.276651371,0.276651371,6.41604,5.30152,0.232559655,0.232559655,0.76313,-0.30854,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,0,2.130529845,0.472478372,0.472478372
1950_3,22.1,6.8,21.18644,19.19192,0.746123405,0.746123405,8.329613734,8.329613734,2.91106,2.59904,4.6,5.6,0.279866312,0.279866312,59.3,59.2,8.03721,8.39609,0.09781,0.02446,0.276651371,0.276651371,9.85235,6.41604,0.232559655,0.232559655,1.83448,0.76313,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,1.730098039,0,0.472478372,0.472478372
1950_4,-11.5,22.1,9.79021,21.18644,0.746123405,0.746123405,8.329613734,8.329613734,1.63813,2.91106,4.2,4.6,0.279866312,0.279866312,59.3,59.3,1.72566,8.03721,0.45081,0.09781,0.276651371,0.276651371,2.56463,9.85235,0.232559655,0.232559655,2.02454,1.83448,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,11.62132719,1.730098039,0.472478372,0.472478372
1951_1,10,-11.5,-16.87898,9.79021,0.746123405,0.746123405,8.329613734,8.329613734,1.70365,1.63813,3.5,4.2,0.279866312,0.279866312,59.3,59.3,2.0136,1.72566,0.52395,0.45081,0.276651371,0.276651371,3.52532,2.56463,0.232559655,0.232559655,4.06593,2.02454,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,5.485012418,11.62132719,0.472478372,0.472478372
1951_2,-10.9,10,-14.55939,-16.87898,0.746123405,0.746123405,8.329613734,8.329613734,0.79867,1.70365,3.1,3.5,0.279866312,0.279866312,59.2,59.3,0.31151,2.0136,0.55641,0.52395,0.276651371,0.276651371,-0.38233,3.52532,0.232559655,0.232559655,0.97288,4.06593,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,2.648050072,5.485012418,0.472478372,0.472478372
1951_3,4.7,-10.9,-8.07175,-14.55939,0.746123405,0.746123405,8.329613734,8.329613734,0.10426,0.79867,3.2,3.1,0.279866312,0.279866312,59.2,59.2,-2.38216,0.31151,0.50522,0.55641,0.276651371,0.276651371,-0.23237,-0.38233,0.232559655,0.232559655,-0.05396,0.97288,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-1.031894934,2.648050072,0.472478372,0.472478372
1951_4,2.4,4.7,8.78049,-8.07175,0.746123405,0.746123405,8.329613734,8.329613734,0.30411,0.10426,3.4,3.2,0.279866312,0.279866312,59.4,59.2,0.68946,-2.38216,0.9466,0.50522,0.276651371,0.276651371,2.52394,-0.23237,0.232559655,0.232559655,1.48074,-0.05396,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,11.23222275,-1.031894934,0.472478372,0.472478372
1952_1,0.9,2.4,-2.24215,8.78049,0.746123405,0.746123405,8.329613734,8.329613734,0.59392,0.30411,3.1,3.4,0.279866312,0.279866312,59.3,59.4,2.31846,0.68946,0.02587,0.9466,0.276651371,0.276651371,2.16652,2.52394,0.232559655,0.232559655,0.37998,1.48074,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,1.406050337,11.23222275,0.472478372,0.472478372
1952_2,8.1,0.9,-3.66972,-2.24215,0.746123405,0.746123405,8.329613734,8.329613734,0.15483,0.59392,3,3.1,0.39611,0.279866312,59,59.3,-1.44175,2.31846,0.02371,0.02587,0.276651371,0.276651371,4.40123,2.16652,0.232559655,0.232559655,0.26498,0.37998,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,1.596642924,1.406050337,0,0.472478372
1952_3,2,8.1,1.42857,-3.66972,0.746123405,0.746123405,8.329613734,8.329613734,0.57507,0.15483,3.2,3,0.41937,0.39611,58.9,59,2.92568,-1.44175,0.08188,0.02371,0.276651371,0.276651371,5.2156,4.40123,0.232559655,0.232559655,0.67958,0.26498,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.897851563,1.897851563,4.890753968,4.890753968,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,3.887514475,1.596642924,3.781512605,0
